name,price,premium,ratingAvg,user_handle,category,firstPublish,datePublished,modified,likesCount,downloadCount
Improved buckle fidget,,False,0,JonathanRynt_1839605,Fashion,2024-04-08T15:35:41+00:00,2024-04-08T15:35:41+00:00,2024-04-09T08:08:07.491424+00:00,384,665
Iron man MK5 helmet,,False,0,Vosoone_1929383,Toys & Games,2024-04-15T12:18:32.720077+00:00,2024-04-15T12:30:47.543630+00:00,2024-04-15T12:30:47.563432+00:00,293,273
Egg white separator,,False,5,DilsDT,Household,2024-04-23T20:00:31.417606+00:00,2024-04-23T20:00:31.421904+00:00,2024-04-23T20:00:31.438071+00:00,195,481
The RIG (R1.1) — DIY helper stand for testing electronic components,,False,4.8,IconicFAB,Hobby & Makers,2024-04-08T20:11:35.227673+00:00,2024-04-24T19:09:00.590578+00:00,2024-04-24T19:09:00.621868+00:00,966,856
Mechanical Seven Segment Display (Version 2),,False,5,marian42_58592,Learning,2024-04-07T01:53:24.690574+00:00,2024-04-27T19:00:45.327298+00:00,2024-04-27T19:00:45.342899+00:00,280,354
Gardenhose to 3/4 thread adapter,,False,0,UedaIchitaka_1943924,Household,2024-04-07T08:47:51.843702+00:00,2024-04-10T11:40:39.353074+00:00,2024-04-10T11:40:39.370969+00:00,250,429
Cute Dino,,False,5,vCheers_1956253,Toys & Games,2024-04-12T04:43:22.739045+00:00,2024-04-17T03:25:09.303845+00:00,2024-04-17T03:25:09.316004+00:00,390,1294
IKEA skadis/SKÅDIS accessories PACK,,False,5,Soarpix,Hobby & Makers,2024-04-04T19:34:40.422311+00:00,2024-04-05T06:34:43.874714+00:00,2024-04-05T06:34:43.895220+00:00,476,576
Bic Lighter and Cigarette or Joint Case,,False,4.75,Mathias_1765844,Fashion,2024-04-05T12:42:49.416601+00:00,2024-04-18T12:42:03.279105+00:00,2024-04-18T12:42:03.300998+00:00,709,1832
Sunflower Windmill - Customizable System,,False,5,BamBam_Design,Household,2024-04-19T04:39:11.399429+00:00,2024-04-19T04:40:17.186747+00:00,2024-04-19T04:40:17.203587+00:00,237,438
Planter with drip container,,False,4,SabreDesign,Household,2024-04-14T17:50:20.956756+00:00,2024-04-16T06:33:19.640217+00:00,2024-04-16T06:33:19.667318+00:00,244,398
