projectName,plotBearing,street,locality,lat,lon,CertificateNo,project_Village,project_Taluka,project_District,project_Division,project_State,pincode,
Tejal Park,1 A and 1 B,Not Available,Not Available,19.919251,75.35602,P51500002693,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431003,
BLISS,336/1/4/2,SUB JAIL ROAD,NR PRAMUKH VIHAR,20.27534,72.999063,P49600000090,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
PRATHMESH SANKUL,SURVEY 18/1B/ PLOT 6,Not Available,Not Available,20.387204,78.112147,P51000011179,Yavatmal (M Cl),Yavatmal,Yavatmal,Amravati,MAHARASHTRA,445001,
Nabhraj Nandanvan Phase II,Gat no. 734,Not Available,Not Available,19.869932,75.400163,P51500003126,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431210,
PLOT NO 802,"PLOT NO 802 Survey no 459,461/1, 460/2,460/3, 461/1, 461/1A, 461/2, 451/1 part, 458/1, 458/2, 464/1,",NAGPUR ROAD,NANDGAON PETH ,19.8761653,75.3433139,P50300006179,Nandgaon peth,Amravati,Amravati,Amravati,MAHARASHTRA,444901,
YOGI MILAN PLUS,271/3 AND 271/1,SUB JAIL ROAD,SILVASSA,20.278852,72.992368,P49600000091,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
SAI KAMAL,TISGAON GUT 180 PLOT NO. 517,Waluj Mahanagar,Waluj Mahanagar 1,19.8640215,75.263948,P51500007461,Tisgaon,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,413136,
Shivam Pride,"Gut no 296,298",Not Available,Not Available,19.853708,75.936225,P51400014239,Deomurti,Jalna,Jalna,Aurangabad,MAHARASHTRA,431203,
PLOT NO 804,"plot no 804 Survey no.459, 461/1, 460/1C, 460/2, 460/3, 461/1, 461/1A, 461/2, 451/1 part, 458/1, 458",Not Available,Not Available,19.8642882,75.9433908,P50300004007,Nandgaon peth,Amravati,Amravati,Amravati,MAHARASHTRA,444901,
Tulip,"KH NO 174/1, PLOT NO. 39",Not Available,Not Available,18.5052428,73.7661129,P50500001330,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440001,
Yashwin Anand,"Survey number 24/3/1, 24/3/2, 24/3/3, 24/4, 24/7A, 24/7C/1, 24/5A, 24/5B, 24/6, 24/7C/2 part",Sus Mhalunge Road,Sus,18.5615343448878,73.7570967962952,P52100000012,Sus,Mulshi,Pune,Pune,MAHARASHTRA,411021,
ACE AURUM,60/2/3 PART,"Near Mukai Chowk, BRT  Road, Ravet ","Opp. Bondave Vasti BRT Stop, Ravet Pune - 412101",18.655647,73.734688,P52100000090,Pimpri Chinchawad (M Corp.),Haveli,Pune,Pune,MAHARASHTRA,412101,
Samraat Nucleus - Project 01,"Plot No 08 S No 510/1P, 510/3, 510/4, 510/5, 511/10/1 and 512/3/8 F Plot No 34 And 42 CTS No 7209",Bhabha Nagar Road,Bhabha Nagar,19.988088,73.790606,P51600001208,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422011,
Aryavan Hills,3-2 sheet no 37 Peth Amravati,Not Available,Not Available,20.872407,77.728896,P50300007847,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444602,
ATHARVA VILLAMENTS,KH NO 154 1 P NO 5,Not Available,Not Available,21.075521,79.119847,P50500002215,Pipla,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440034,
SUYOJIT GREENS,44/11A PLOT NO. 6,NASHIK PUNE ROAD,"Lavate Nagar, Nashik Road, Nashik",19.9445227,73.8294651,P51600002051,Deolali (CB),Nashik,Nashik,Nashik,MAHARASHTRA,422401,
EKDANT SANSKRITI,58/3,ULTAN FALIA ROAD,AMLI,20.284356,72.99041,P49600000094,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
SANKALP HEIGHT,"PLOT NO.13,S/NO 41",Not Available,Not Available,20.973075,77.75406,P50300003775,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
ATHARVA CASTLE,KH NO 154 2 3 PLOT NO 5,Not Available,Not Available,21.077694,79.120272,P50500001987,Pipla,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440034,
Choudhary Bhuvi Landmarks - II ,"Plot No 3, Gut No 140",Not Available,Not Available,21.0801997,79.1202772,P51500005055,Tisgaon,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431136,
Tejal Pride,Plot no 19 C  Survey no 176/1/2,Not Available,Not Available,19.914421,75.35405,P51500002379,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
AKSHAR DEEP,18/1/1/2,Not Available,Not Available,20.043318,73.778923,P51600008239,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422004,
SHRINIWASA 63 COMPLEX,"Nazul sheet no.67-c,plot no.-63,49,50,59,60,62,47",Not Available,Not Available,20.927204,77.753183,P50300012588,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
LAXMI NARAYAN RESIDENCY,"PLOT NO 63/64, KHASRA NO 91/1, 91/2, 91/3 CITY SURVEY NO 583",Not Available,Not Available,21.1117002,79.0729793,P50500001582,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440015,
LAKSHMI RESIDENCY,113/2 TO 113/7,Not Available,Not Available,19.0344647,73.0110096,P53100008264,Sangli Miraj Kupwad (M Corp.),Miraj,Sangli,Pune,MAHARASHTRA,416416,
Saptagiri,Plot No 33 to 36 and 40 to 43,Not Available,Not Available,19.0344647,73.0110096,P51100002999,Nanded Waghala (M Corp.),Nanded,Nanded,Aurangabad,MAHARASHTRA,431603,
SHREE TIRUMALA SWASTIK APARTMENT,"867/2/69 , 74",Not Available,Not Available,19.0344647,73.0110096,P51600005646,Indiranagar,Nashik,Nashik,Nashik,MAHARASHTRA,422009,
KESHAV KUNJ IV,"PLOT NO 5-9, SECTOR 44A, NERUL",Not Available,Not Available,19.062183,73.004475,P51700000624,Navi Mumbai (M Corp.),Thane,Thane,Konkan,MAHARASHTRA,400706,
WARDHEKAR COMPLEX,72,Not Available,Not Available,21.021601,77.823859,P50300006612,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
UTSAV HOMES 2,339/9/1 and 339/9/2,Not Available,Not Available,18.521472,73.774185,P52100001111,Pune (M Corp.),Pune City,Pune,Pune,MAHARASHTRA,411004,
jyoti savitri vihar,8 9 11,Not Available,Not Available,18.5335989,73.8304269,P51000010707,Moha,Yavatmal,Yavatmal,Amravati,MAHARASHTRA,445001,
SHREE TIRUMALA PARADISE APARTMENT,900/1/14 PLOT NO 8,CHETANA NAGAR,NASHIK,19.9613254552147,73.7699754109619,P51600001631,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422009,
RAJ HEAVENS PHASE 1 C BUILDING,"495/1/1,495/2,493/4/2/1,493/4/1/1,496/5",NEW RING ROAD ,BEHIND LIONS ENGLISH SCHOOL,20.271845,73.017403,P49600000096,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
ATHARVA FORTUNE,KH NO 154 1 P NO 1,Not Available,Not Available,21.07867,79.119937,P50500002140,Pipla,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440034,
PLOT NO 805,PLOT NO 805 S.NO. 459 461/1 460/1C 460/2 460/3 461/1 461/1A 461/2 451/1 PART 458/1 458/2 464/1,Not Available,Not Available,21.1372529,79.058856,P50300004335,Nandgaon peth,Amravati,Amravati,Amravati,MAHARASHTRA,444901,
SHREE TIRUMALA HARINIWAS APARTMENT,S NO 78 PLOT NO 83,Not Available,Not Available,21.1372529,79.058856,P51600001282,Satpur,Nashik,Nashik,Nashik,MAHARASHTRA,422013,
Shreeji Tower Residential,06 to 08/70,Not Available,Not Available,21.1372529,79.058856,P51500003486,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
OLIVE SILLARI,"16/1, 16/2 ,12/1, 12/2",Not Available,Not Available,21.543432,79.334365,P50500012737,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440010,
Shri Radha Krishna Residency,"1 and 6, Field Survey No. 64, Mouje - Peth Amravati",Not Available,Not Available,20.922654,77.741301,P50300009832,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444605,
MADAN RATAN CITY,"CITY SURVEY NO. 39 KH NO 21/1, MOUZA CHIKHALI KHURD HOUSE NO 4714/ 1,  BHOLE NAGAR, NAGPUR 440024",Not Available,Not Available,21.1421125,79.1111018,P50500001473,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440032,
SHREE TIRUMALA VASANT APARTMENT,S. NO. 878/3/51 ,Not Available,Not Available,18.5019606,73.9330242,P51600001697,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422009,
Picasso Phase II,201P,Pune Solapur Road,"Sade Satra Nali, Hadapsar",18.5119891679348,73.9431577236436,P52100000104,Hadapsar,Haveli,Pune,Pune,MAHARASHTRA,411028,
SHEETAL PLAZA,"18-21, 25, 26, SURVEY NO. 32/2",Not Available,Not Available,20.372878,78.102627,P51000004005,Yavatmal (M Cl),Yavatmal,Yavatmal,Amravati,MAHARASHTRA,445001,
ATHARVA NAGARI III,131 A 1 ,Not Available,Not Available,21.082956,79.108366,P50500001976,Pipla,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440034,
MORAJ MAA SHRISHTI,1106/37-02,chinchavli,Lowjee,18.809546,73.330541,P52000000480,Khopoli,Khalapur,Raigarh,Konkan,MAHARASHTRA,410203,
BRAMHAPURI RESIDENCY,15802,Jalna,Jalna,18.8305523,73.2846445,P51400012471,Jalna (M Cl),Jalna,Jalna,Aurangabad,MAHARASHTRA,431203,
SUPREME PLAZA ,174,Not Available,Not Available,18.8305523,73.2846445,P50500002753,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440013,
MANORATH RESIDENCY PHASE-3,"27/1/3,27/1/4/1/1/1",SILVASSA-SAYLI ROAD,NR LIONS SCHOOL,20.2683809015219,73.0136239733279,P49600000105,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
SHIVANAND HEIGHTS,27,Not Available,Not Available,18.5296029,73.8760154,P50300005800,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444606,
Gagan Utopia,"S. No. 9 to 14, Hissa No. 1/16, Keshav Nagar, Mundhava.",Mundhwa,Mundhwa,18.5425104642191,73.9461133700794,P52100005074,Pune (M Corp.),Pune City,Pune,Pune,MAHARASHTRA,411001,
KRISHNA ANANDAM 2,P.NO 77 PANNASE LAYOUT NAGPUR S.NO 209/290152/77,Near London Street,Pannase Layout,21.104333,79.034198,P50500012118,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440033,
BIRDS COUNTY,SURVEY NUMBER 129,Not Available,Not Available,18.605698,73.757759,P52100010148,Wakad,Mulshi,Pune,Pune,MAHARASHTRA,411057,
DISHA VINAYAK PHASE 1,"GUT NO 21, SATARA",Not Available,Not Available,19.845046,75.307612,P51500002345,Satara (CT),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431010,
ROONGTA TOWNSHIP PHASE IV APARTMENT,"882/2B/12,13 PLOT NO 12  13",NASHIK,NASHIK,19.973557,73.776985,P51600001287,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422009,
RAGHAV SANKUL,1,Khamgaon,Khamgaon,20.713982,76.561075,P50000006634,Khamgaon (M Cl),Khamgaon,Buldana,Amravati,MAHARASHTRA,444303,
DISHA VINAYAK PHASE 2,"GUT NO 21, SATARA",Not Available,Not Available,19.845062,75.307654,P51500001666,Satara (CT),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431010,
SAIDWARKA APPARTMENT,"2,3,4, Survey No 108/1B",Not Available,Not Available,19.975255,79.259363,P50900002432,Kosara,Chandrapur,Chandrapur,Nagpur,MAHARASHTRA,442406,
SHREE TIRUMALA BHUMIKA APARTMENT- B WING,837/3,Not Available,Not Available,19.986486,73.808693,P51600002388,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422011,
PRABHUKUNJ APPARTMENT,S NO 9/1 A PLOT 1,Not Available,Not Available,20.387861,78.094956,P51000007459,Yavatmal (M Cl),Yavatmal,Yavatmal,Amravati,MAHARASHTRA,445001,
PARIJAT C,"PLOT NO 15 16, GUT NO 104, NNAKSHATRAWADI",Not Available,Not Available,19.813203,75.289727,P51500007708,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
SHREE SAI MEHER ENCLAVE,"PLOT NO. 9A,9B,10,11A,11B,field survey no. 2/3, mauje jewad, pragne badnera, amravati",Not Available,Not Available,19.8902634,75.323544,P50300005253,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444606,
Vasukamal Solitaire,5228,Swadhay Bhavan road,Near GST Bhavan,20.993324,75.578272,P49900009627,Jalgaon (M Corp.),Jalgaon,Jalgaon,Nashik,MAHARASHTRA,425001,
United Shalimar Phase 2,"Final plot nos 147 and 151 of TPS I, old CTS nos 307/4, 307/5, 307B and 307A/8, Nashik",SHALIMAR CHOWK,BEHIND NEHRU GARDEN,20.0018792231266,73.7869618406533,P51600001027,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422001,
RUDRAKSH,SURVEY NO 322 / 1,MAHYAVASHI FALIYA ROAD,DADRA,20.316422,72.967906,P49600000116,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396193,
SHRI SAIKRUPA RESIDENCY,"Plot No.1, Field Survey No. 195, Mauje Badnera, Amravati",Not Available,Not Available,20.860092,77.735673,P50300005333,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444701,
Bhumi Park,"68, 294, 28, ",Not Available,Not Available,21.12873,79.079405,P50500013079,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440012,
Shri Pinglai Heights,"46/2, plot no 1 and plot no 2 Survey no 46",Not Available,Not Available,20.965135,77.755108,P50300012628,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
HAPPY RISE,415,Not Available,Not Available,21.137135,79.057142,P50500008777,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440012,
HARI NIKETAN PHASE II,S NO 24A/1,NASHIK,NASHIK,21.144414,79.084353,P51600000859,SANSARI,Nashik,Nashik,Nashik,MAHARASHTRA,422401,
SHAH GOVIND APARTMENT PHASE II, S NO 367/2 PART,Not Available,Not Available,19.860332,73.835934,P51600001700,Bhagur Rural,Nashik,Nashik,Nashik,MAHARASHTRA,422502,
SWAGAT,859/1,NR. LIONS ENGLISH SCHOOL,AMLI,20.272501,73.013455,P49600000104,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
JAI BHOLE APARTMENT,1 AND 2,Badnera,Badnera,20.94071,77.758002,P50300007689,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
AMRUT SAI PLAZA PH 2,CTS NO. 18762,Station MIDC Road,Silk Mill Colony,19.856718,75.309178,P51500011307,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
SHREE TIRUMALA AASHIYANA APARTMENT,"S NO 900/1/15,17 PLOT NO 19 ,20",NASHIK,NASHIK,19.8902634,75.323544,P51600001825,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422009,
MORYA RESIDENCY,SR NO 20 P.T. GUT NO 41/4,Not Available,Not Available,18.5817469,73.9817056,P51000006044,Moha,Yavatmal,Yavatmal,Amravati,MAHARASHTRA,445001,
Pyramid City 4,"141/1, 141/3",Besa Pipla Road,Besa,18.5817469,73.9817056,P50500006837,Pipla,Nagpur (Rural),Nagpur,Nagpur,MAHARASHTRA,440037,
GURU VIHAN,234,Fulmal Road,Wagholi,18.589706,73.988645,P52100000553,WAGHOLI,Haveli,Pune,Pune,MAHARASHTRA,412207,
SHAHS PARASHRAM APARTMENT,S NO 135/2 PLOT NO 3 AND 4 ,LAM ROAD,SANSARI,19.906072,73.837803,P51600001937,SANSARI,Nashik,Nashik,Nashik,MAHARASHTRA,422401,
Manjusha Regalia,"Plot No R 3, Survey No 133/2, CTS No 773, Mouza Jaitala, Nagpur",Not Available,Not Available,19.6935581,72.7655184,P50500002805,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440036,
OCEAN PEARL,162/1/1PT,Not Available,Not Available,19.700804,72.765336,P99000004132,Palghar ,,Palghar,Palghar,Konkan,MAHARASHTRA,401404
SAMARTH ARCADE PH 2,"3, 4 AND 5 / GAT NO 219/1/F",Not Available,Not Available,19.917335,75.342788,P51500002392,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
EKTA GREENVILLE PHASE 3 ,S NO 231 AT PATHARDI NASHIK,Not Available,Not Available,19.943481,73.754108,P51600001510,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422010,
Shri Gurudatta Apartment,Plot No 5 CTS 15843/7,Shanoormiya Durga Road,Chetna Nagar,19.8505,75.3521,P51500003468,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
ROONGTA ARCADE APARTMENT,"656/1/1B/2 AND  654/1/2/3, PLOT NO 10 , 11",Not Available,Not Available,20.001911,73.773223,P51600006600,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422002,
ARC PUKHRAJ,"S NO 35/1A/2, 35/1A/18, 36/2B/5",Not Available,Not Available,18.534762,73.946397,P52100005584,Mundhawa,Haveli,Pune,Pune,MAHARASHTRA,411036,
32 FREEDOM PARK SOUTHREPUBLIC,PLOT NO 483 TO 487 AND 506TO 512 GUT NO 308,Not Available,Not Available,19.839404,75.322556,P51500002067,Satara (CT),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
NATURES PRIDE - PHASE I,"141/1/1-2/2, 141/1-2/1/2, 141/1/-2/1/3",MAKHAMALABAD ROAD,MAKHAMALABAD,20.024185,73.767419,P51600009561,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422003,
SHRI GAJANAN TOWER,"Sheet No 53C Plot No33 , Sheet No 53 A Plot No 3/3",Not Available,Not Available,20.898816,77.737719,P50300003216,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444602,
SWAPNANAGARI,"RS. No. 578/1, Plot No. 2/3/4, E-Ward",Vijayshree Park Road,Near Rajendra Nagar,16.6670502167446,74.2477363345479,P53000000097,Kolhapur (M Corp.),Karvir,Kolhapur,Pune,MAHARASHTRA,416008,
Anushree Apartment,S No 893-4-2-1-1-2-3-893-5-2-1-11 Plot No 1-2-3-1-11,Not Available,Not Available,16.6859672,74.2443436,P51600003905,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422009,
SARA PARIVARTAN - SECTOR E,SURVEY NO. 234/2,Not Available,Not Available,19.955975,75.356885,P51500001935,Sawangi,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431008,
SUMERU MANGALAM,42/1 JEWAD BADNERA PLOT NO 10A 10B 11A,Not Available,Not Available,20.904907,77.760098,P50300010367,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444607,
SAI VISHWANGAN,28/26/24/25/27,Not Available,Not Available,18.1485264,73.9775047,P52100006939,Shirwal,Khandala,Satara,Pune,MAHARASHTRA,412801,
SHRICHARAN HIEGHTS,22,Not Available,Not Available,18.1485264,73.9775047,P50100009161,Akola (M Corp.),Akola,Akola,Amravati,MAHARASHTRA,444001,
Neeraj Vihar,Gut No 46 - Part  Plot No 34 to 36,Not Available,Not Available,19.886755,75.292098,P51500011515,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
Affordable Housing in Partnership under PMAY U in Baldevi,603/P2,Survey No. 603/P2,Bapul Faliya,20.265512,73.032687,P49600000162,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
PRAKASH ESTATES,PLOT NO 8  AND 14 SURVEY NO 121 A,Not Available,Not Available,21.008838,75.584865,P49900002142,Jalgaon (M Corp.),Jalgaon,Jalgaon,Nashik,MAHARASHTRA,425001,
ENRICO HEIGHTS,"3, CS NO. 488, KHASARA NO. 38/1",Not Available,Not Available,21.10524,79.069365,P50500004022,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440015,
Affordable Housing in Partnership under PMAY U in Ambedkar Nagar Plot No. 54,208/P Plot No. 54,Piparia Industrial Estate Road,Ambedkar Nagar,20.284945,72.984642,P49600000113,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
ORBITAL EMPIRE,132,EKATMATA NAGAR ROAD,JAITALA,21.104868512483,79.0149195650574,P50500002582,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440036,
ROYAL PALMS,GUT NO 53,Not Available,Not Available,21.1157472,79.0447306,P51500001328,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431005,
atharva sadan,73part,Not Available,Not Available,18.7326313,73.477314,P50900005992,Chandrapur (M Cl),Chandrapur,Chandrapur,Nagpur,MAHARASHTRA,442402,
SILVER STREAMS,63 PART AND 64,SADAPUR ROAD,MAVAL,18.7326313,73.477314,P52100015853,Bhaje,Mawal,Pune,Pune,MAHARASHTRA,410405,
ROONGTA HORIZON APARTMENT,S NO 763 /2 /3/1 AND PLOT NO 17 OUT OF S No 763 /2/ 2 /2,NASHIK,NASHIK,19.9840537902687,73.7648041119812,P51600001399,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422001,
FLORA,84/2,Kamli faliya Road,Nr Ayyappa Temple,20.261719,72.998455,P49600000107,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
38-Park Majestique,survey no 38/2 and 38/3,UNDRI,UNDRI,18.460205,73.912544,P52100000332,UNDRI,Haveli,Pune,Pune,MAHARASHTRA,411060,
PARIKRAMA GREENS,"56/1,01",AMRAVATI,AMRAVATI,18.460205,73.912544,P50300011577,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444606,
ROONGTA IMPERIA APARTMENT,S. NO. 763/2/1,NASHIK,NASHIK,19.9847495039304,73.7661237588166,P51600001327,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422001,
Krishna Residency,875P / Survey No 21 Hissa 2B,Just Opposite Lowjee railway Station,Uday Vihar Colony,18.8087388046848,73.3349439656563,P52000000007,Khopoli,Khalapur,Raigarh,Konkan,MAHARASHTRA,410203,
MAJESTIC PARADISE,SURVEY NO 16,Not Available,Not Available,18.8305523,73.2846445,P50400002111,Palakwadi (Wardha),Wardha,Wardha,Nagpur,MAHARASHTRA,442001,
Shivaji Nagar,"Old Survye No 180, New Survey No 201/1",umarga,umarga,18.8305523,73.2846445,P52500012340,Umarga (M Cl),Umarga,Osmanabad,Aurangabad,MAHARASHTRA,413606,
SUYOJIT BAUG,702/2/B,"GANGAPUR ROAD,","Sahdev Nagar, Nashik",20.0202319012813,73.765626350822,P51600002623,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422013,
Hrim Ssky City Phase I,Satara Gut NO 69 SURVEY NO 43-1,BEED BY PASS,BEED BY PASS,18.5335989,73.8304269,P51500003143,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
Rajmudra Empire,PLOT NO 20 TO 22 S NO 16/1A/1+2,Not Available,Not Available,18.5335989,73.8304269,P51600003908,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422006,
SHILOH,1048/1 F.P.NO. 438/1,GOKHALE ROAD,MODEL COLONY,18.5335989,73.8304269,P52100002763,Pune (M Corp.),Pune City,Pune,Pune,MAHARASHTRA,411016,
SUMAN VATIKA,260,Not Available,Not Available,18.5335989,73.8304269,P50500012082,Nagpur (M Corp.),Nagpur (Urban),Nagpur,Nagpur,MAHARASHTRA,440026,
Affordable housing in Partnership under PMAY U in Ambedkar Nagar Plot No. 11,211/P Plot No. 11,Piparia Industrial Estate Road,Ambedkar Nagar,20.285921,72.984262,P49600000115,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
Hari Sanskruti Phase I,S No 248/1 to 6/1+2+3+4 Part,Deolali,Deolali,19.8640215,75.263948,P51600001194,Deolaligaon,Nashik,Nashik,Nashik,MAHARASHTRA,422101,
KAUSHIK HEIGHTS,PLOT NO 1/87 SHEET NO 46-B,Not Available,Not Available,19.8640215,75.263948,P50300009436,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444601,
MANGALMURTI RESIDENCY,PLOT NO 17 18 GUT NO 176 PART,Not Available,Not Available,19.8640215,75.263948,P51500002019,Tisgaon,Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431136,
HARMONY PHASE 1,"SURVEY NO.111, PLOT NO 24 TO 34","AYAPPA TEMPLE ROAD, NEXT TO FLORA",KAMLI FALIYA,20.260466,72.996916,P49600000109,Not Available,Dadra & Nagar Haveli,Dadra & Nagar Haveli,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,396230,
MALTI HEIGHTS,SARVE NO. 204/11 PLOT NO.1 TO 3,Not Available,Not Available,21.2061748,79.1748248,P51600008940,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,422003,
MANSAVALI RESIDENCY,"NAZUL SHEET NO. 20, PLOT NO. 12/4/2",Not Available,Not Available,21.2061748,79.1748248,P50300014159,Amravati (M Corp.),Amravati,Amravati,Amravati,MAHARASHTRA,444602,
SANIKA VIHAR,"Plot No R-1, Kh No 116 ABK, Mouza - Bhilgaon",Not Available,Not Available,21.2061748,79.1748248,P50500002354,Bhilgaon,Kamptee,Nagpur,Nagpur,MAHARASHTRA,441002,
Pratik Srushti,"3,4,5",Paithan Road,Nakshtrawadi,19.8787869,75.365128,P51500004587,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431003,
SIDDHIVINAYAK ,SR NO 119/1 GAT NO 509/1A PLOT NO 63 64 65,Behind Jatra Hotel,Near Ramleela Lawns,20.0201858448537,73.8409617796234,P51600007408,Nashik,Nashik,Nashik,Nashik,MAHARASHTRA,423101,
BHUVI GHARKUL,2940,KHADKESHWAR,NARALIBAG,19.8761653,75.3433139,P51500014339,Aurangabad (M Corp.),Aurangabad,Aurangabad,Aurangabad,MAHARASHTRA,431001,
CHINTAMANI,"SR NO 119/2 PLOT NO 62 63, GAT NO 322/1/1A",BEHIND JATRA HOTEL,NEAR RAMLEELA LAWNS,20.022640431014,73.8410449281029,P51600006246,Nashik (M Corp.),Nashik,Nashik,Nashik,MAHARASHTRA,422003,
