,Ranking,Link,ID,ImageLink,Sponsored,ProductName,Rating,RatingsCount,Price,DeliveryTime,NumBought
52,53.0,https://amazon.com/dp/B0CZL2SLCJ,B0CZL2SLCJ,https://m.media-amazon.com/images/I/61QuxlKVZbL._AC_UL320_.jpg,,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB Emmc+ 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Gold",4.4,1770.0,299.0,1.0,500.0
53,54.0,https://amazon.com/dp/B0CRDCFNHW,B0CRDCFNHW,https://m.media-amazon.com/images/I/61FYc36J93L._AC_UL320_.jpg,,"ASUS Vivobook 15.6” FHD Laptop, AMD Ryzen 3 3250U, 8GB RAM, 128GB SSD, Windows 11 Home in S Mode, Transparent Silver, M515DA-WS33",4.0,79.0,332.99,1.0,500.0
54,55.0,https://amazon.com/dp/B0BRT67MWZ,B0BRT67MWZ,https://m.media-amazon.com/images/I/719yYrijeKL._AC_UL320_.jpg,,"Dell Inspiron 3511 Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7 (Beats Intel i7-1065G7), 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",4.0,455.0,539.0,2.0,500.0
55,56.0,https://amazon.com/dp/B0BQ9W4DV3,B0BQ9W4DV3,https://m.media-amazon.com/images/I/712VAsKBk-L._AC_UL320_.jpg,,"HP 2023 15'' HD IPS Laptop, Windows 11, Intel Pentium 4-Core Processor Up to 2.70GHz, 8GB RAM, 128GB SSD, HDMI, Super-Fast 6th Gen WiFi, Dale Red (Renewed)",4.3,676.0,214.99,3.0,500.0
56,57.0,https://amazon.com/dp/B0BSP51S36,B0BSP51S36,https://m.media-amazon.com/images/I/71DL+S6ihBL._AC_UL320_.jpg,,"ASUS C424MA-AS48F Chromebook C424, 14.0"" 180 Degree FHD NanoEdge Display, Intel Dual Core Celeron Processor, 4GB LPDDR4 RAM, 128GB Storage, Silver Color, C424MA-AS48F",4.2,301.0,199.99,0.0,500.0
57,58.0,https://amazon.com/dp/B082P8N4KJ,B082P8N4KJ,https://m.media-amazon.com/images/I/61cEe0sO6JL._AC_UL320_.jpg,,"Late 2019 Apple MacBook Pro with 2.6GHz Intel Core i7 (16 inch, 16GB RAM, 512GB) Space Gray (Renewed)",4.2,771.0,634.99,1.0,400.0
58,59.0,https://amazon.com/dp/B0CRCYJ8YV,B0CRCYJ8YV,https://m.media-amazon.com/images/I/71kOH3in8TL._AC_UL320_.jpg,,"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” Nebula Display 16:10 QHD 240Hz, GeForce RTX 4060, Intel® Core™ i9-14900HX, 16GB DDR5-5600, 1TB PCIe SSD, Wi-Fi 6E, Windows 11, G614JVR-ES94",4.3,97.0,1668.01,1.0,200.0
59,60.0,https://amazon.com/dp/B0D1HLTF5L,B0D1HLTF5L,https://m.media-amazon.com/images/I/41wJ1zfNSBL._AC_UL320_.jpg,Sponsored,"HP 15 Laptop Computer for Business & Student 15.6"" FHD Display, with Microsoft Office 2021 Lifetime License, AMD Ryzen 5-7520U, Webcam, WiFi 6, Type-C (Win 11 Pro, 16GB RAM | 512GB PCIe SSD)",,,489.0,,
60,61.0,https://amazon.com/dp/B07TT9W26Z,B07TT9W26Z,https://m.media-amazon.com/images/I/61xm1J2DZzL._AC_UL320_.jpg,Sponsored,"Dell Inspiron 15 Laptop for Business and Students, 15.6 FHD Touchscreen Display, 12th Gen Intel Core i5-1235U, 32GB RAM, 2TB NVMe SSD, Webcam, SD Card Reader, Keypad, HDMI, SPS HDMI, Win 11 Pro",,,699.99,,
61,62.0,https://amazon.com/dp/B0D178MKZ1,B0D178MKZ1,https://m.media-amazon.com/images/I/71ILCEwR+-L._AC_UL320_.jpg,Sponsored,"14'' Laptop 8GB DDR4 512GB SSD, Celeron N4000 Processors Laptop Computer, Windows 11 IPS FHD Display Laptop Computer,Numeric Keypad USB 3.0, Bluetooth 4.2, 2.4/5G WiFi",,,189.0,,
62,63.0,https://amazon.com/dp/B0CNTJH19L,B0CNTJH19L,https://m.media-amazon.com/images/I/61dOHhU8uGL._AC_UL320_.jpg,Sponsored,"HP Probook 250 G8 15.6"" FHD Business Laptop Computer, Intel Core i5-1135G7 (Beat i7-1065G7), 16GB DDR4 RAM, 512GB PCIe SSD, 802.11AC WiFi, Bluetooth 5.0, Natural Silver, Windows 11 Pro, AZ-XUT",5.0,1.0,449.0,,
63,64.0,https://amazon.com/dp/B0CT1ZFGPC,B0CT1ZFGPC,https://m.media-amazon.com/images/I/71+9WfLKBeL._AC_UL320_.jpg,Sponsored,"HP 17 Laptop for Business and Student, 17.3"" FHD Anti-Glare Display, Intel Core i3-N305(8-core), 16GB RAM, 512GB SSD, Wi-Fi 6, Fast Charge, Fingerprint Reader, Windows 11 Home, with Laptop Stand",5.0,1.0,449.99,2.0,
64,65.0,https://amazon.com/dp/B09X9P4TH6,B09X9P4TH6,https://m.media-amazon.com/images/I/41dxmvxO3jL._AC_UL320_.jpg,Sponsored,"HP Chromebook 11 G7 EE 11.6"" Laptop, Intel Celeron N4000, 4GB RAM, 16GB eMMC SSD (6QY22UT#ABA) (Renewed)",3.9,83.0,67.99,,
65,66.0,https://amazon.com/dp/B0BT3CD75G,B0BT3CD75G,https://m.media-amazon.com/images/I/71JqyTBiXrL._AC_UL320_.jpg,,"MSI Thin GF63 15.6"" 144Hz Gaming Laptop: 12th Gen Intel Core i7, NVIDIA GeForce RTX 4050, 16GB DDR4, 512GB NVMe SSD, Type-C, Cooler Boost 5, Win11 Home: Black 12VE-066US",4.4,2532.0,889.0,1.0,300.0
